Cash,,"119,281.44 zł","109,574.25 zł","154,372.38 zł","123,048.33 zł","49,993.56 zł","-66,833.52 zł","-44,397.79 zł","-35,727.06 zł","-103,287.99 zł","-103,287.99 zł","100,343.19 zł"
Income,"178,052.49 zł","37,391.75 zł","79,867.12 zł","2,302.87 zł","48,658.45 zł","36,632.20 zł","81,222.42 zł","81,599.50 zł",0.00 zł,"17,069.47 zł","251,536.36 zł","23,649.49 zł"
Expenses,"58,771.05 zł","47,098.94 zł","35,068.99 zł","33,626.92 zł","121,713.22 zł","153,459.28 zł","58,786.69 zł","72,928.77 zł","67,560.93 zł","50,205.82 zł","47,905.18 zł","97,439.75 zł"
,"119,281.44 zł","-9,707.19 zł","44,798.13 zł","-31,324.05 zł","-73,054.77 zł","-116,827.08 zł","22,435.73 zł","8,670.73 zł","-67,560.93 zł","-33,136.35 zł","203,631.18 zł","-73,790.26 zł"
,,,,,,,,,,,,
,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,
,,,,,,,,,,,,
Materials and Production,17650.8,5150.31,2001.34,17866.73,50343.49,97920.01,8956.73,135.99,15851.56,5933.51,4499.24,66771.1
Yarn,,,,,,89182.77,,,,,,22944.49
Wax,,,,,26400.3,,,,,,,26448.42
Hand Wrapper,,,,,,,,,,,,
Beeswrap Machine/Other Machines,,,,1515.98,414.63,,,,,,,
Other,925.28,,79.41,,295.03,,2018.13,,,,,
Boxes,,,,,,,,,,,,
Tags/labels,2865.6,123,246,,,3793.32,2553.14,101.5,,,,3073.33
Hempsy parts,13859.92,5027.31,1675.93,16350.75,19949.85,4943.92,554.25,,15578.57,4676.91,4266.09,14304.86
Natural Fibers/Safillin/Other (hemp webbing),,,,,,,,,,302,,
Repair of machines and equipment,,,,,3283.68,,3757.18,,272.99,,233.15,
Packing tape,,,,,,,74.03,34.49,,,,
Plastic wrap,,,,,,,,,,954.6,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PPE,8707.46,8440.47,6428.29,6345.18,6052.23,6683.32,2418.16,23082.41,8671.56,7546.22,7691.31,9561.17
Rent + Power + internet + garbage,7875.39,7989.34,5988.17,5803.24,5719.14,6105.62,,22281.67,7718.08,6836.49,7091.82,9281.79
Phone: Play,191.7,159.9,161.1,129.15,,,96.54,134.35,159.91,238.88,129.79,129.38
cleaning supplies,,,,,,,,,,,,
other supplies,,,,,,,1731.11,322.84,555.18,,401,150
Office Supplies,347.48,,,136,,,210.47,,,46.28,,
Plaster for wrappers,,,,,50.48,,21.45,90.48,,168.58,68.7,
Mike's fuel,292.89,291.23,279.02,276.79,282.61,577.7,358.59,253.07,238.39,255.99,,
Other purchases ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Services,312.09,7899.79,2671.98,3760.7,28103.69,12588.87,5680.36,4224.53,12614.66,3742.57,22389.01,3494.08
K7,,,,3507.6,9969.34,2037.18,3233.09,,6835.68,,18500.9,
Accountants,,,,,17218.15,2220.15,1955.7,2681.4,2494.44,2435.4,2349.3,2287.8
MRP,253.12,253.1,253.1,253.1,253.1,253.1,253.1,253.1,253.1,253.1,253.1,253.1
Furgonetka/Allekurier + other,58.97,7646.69,1554.88,,459.1,8078.44,238.47,1290.03,3031.44,1054.07,1285.71,953.18
Tickets,,,864,,204,,,,,,,
,,,,,,,,,,,,
Salary & ZUS & Taxes,20552.03,23608.66,8921.73,4834.01,17680.79,19961.1,21201.22,44595.94,29533.25,31959.22,11087.45,16457.9
Wages,14231.5,19687.62,1000,4166.02,17012.8,17659.25,21083.22,44383.94,29415.25,31841.22,10969.45,16339.9
ZUS,5456.53,3424.04,6632.73,549.99,549.99,2183.85,,,,,,
Taxes,864,497,1289,118,118,118,118,212,118,118,118,118
,,,,,,,,,,,,
,,,,,,,,,,,,
Benefits,0,1779.8,889.9,820.3,185.3,889.9,889.9,889.9,889.9,1024.3,1024.3,1024.3
Insurance,,1779.8,889.9,820.3,185.3,889.9,889.9,889.9,889.9,1024.3,1024.3,1024.3
,,,,,,,,,,,,
,,,,,,,,,,,,
Loan Repay (Mike),11548.67,219.91,14155.75,,19347.72,15416.08,19640.32,,,,1213.87,131.2
,,,,,,,,,,,, 
,,,,,,,,,,,,
Income,178052.49,37391.75,79867.12,2302.87,48658.45,36632.2,81222.42,81599.5,0,17069.47,251536.36,23649.49
